Typical Measured Spectrum of Semrock FF01-500/LP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
421.2	6.7709e-07
421.4	7.0141e-07
421.6	7.2661e-07
421.8	7.5271e-07
422.0	7.7765e-07
422.2	8.0298e-07
422.4	8.2913e-07
422.6	8.5614e-07
422.8	8.8403e-07
423.0	9.1282e-07
423.2	9.4256e-07
423.4	9.7326e-07
423.6	1.005e-06
423.8	1.0377e-06
424.0	1.044e-06
424.2	1.04e-06
424.4	1.036e-06
424.6	1.0321e-06
424.8	1.0281e-06
425.0	1.0242e-06
425.2	1.0203e-06
425.4	1.0164e-06
425.6	1.0125e-06
425.8	1.0087e-06
426.0	1.0248e-06
426.2	1.0541e-06
426.4	1.0842e-06
426.6	1.1151e-06
426.8	1.147e-06
427.0	1.1797e-06
427.2	1.2134e-06
427.4	1.2481e-06
427.6	1.2837e-06
427.8	1.3204e-06
428.0	1.3511e-06
428.2	1.3755e-06
428.4	1.4004e-06
428.6	1.4258e-06
428.8	1.4516e-06
429.0	1.4778e-06
429.2	1.5046e-06
429.4	1.5318e-06
429.6	1.5595e-06
429.8	1.5877e-06
430.0	1.6122e-06
430.2	1.6195e-06
430.4	1.6268e-06
430.6	1.6342e-06
430.8	1.6416e-06
431.0	1.6491e-06
431.2	1.6566e-06
431.4	1.6641e-06
431.6	1.6716e-06
431.8	1.6792e-06
432.0	1.6851e-06
432.2	1.6905e-06
432.4	1.696e-06
432.6	1.7015e-06
432.8	1.707e-06
433.0	1.7125e-06
433.2	1.7181e-06
433.4	1.7237e-06
433.6	1.7292e-06
433.8	1.7348e-06
434.0	1.7676e-06
434.2	1.8127e-06
434.4	1.8589e-06
434.6	1.9062e-06
434.8	1.9548e-06
435.0	2.0047e-06
435.2	2.0558e-06
435.4	2.1082e-06
435.6	2.1619e-06
435.8	2.217e-06
436.0	2.2549e-06
436.2	2.281e-06
436.4	2.3073e-06
436.6	2.3339e-06
436.8	2.3609e-06
437.0	2.3881e-06
437.2	2.4157e-06
437.4	2.4436e-06
437.6	2.4718e-06
437.8	2.5003e-06
438.0	2.5168e-06
438.2	2.5208e-06
438.4	2.5249e-06
438.6	2.529e-06
438.8	2.5331e-06
439.0	2.5372e-06
439.2	2.5413e-06
439.4	2.5454e-06
439.6	2.5495e-06
439.8	2.5536e-06
440.0	2.5561e-06
440.2	2.5522e-06
440.4	2.5482e-06
440.6	2.5443e-06
440.8	2.5403e-06
441.0	2.5364e-06
441.2	2.5325e-06
441.4	2.5286e-06
441.6	2.5247e-06
441.8	2.5208e-06
442.0	2.5466e-06
442.2	2.5805e-06
442.4	2.6149e-06
442.6	2.6497e-06
