Typical Measured Spectrum of Semrock FF01-593/LP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
426.0	1.0e-07
426.2	1.0e-07
426.4	2.8459e-07
426.6	1.2546e-06
426.8	5.5311e-06
427.0	2.4384e-05
427.2	2.5097e-05
427.4	2.5831e-05
427.6	2.6586e-05
427.8	2.7363e-05
428.0	2.8163e-05
428.2	2.8987e-05
428.4	2.9834e-05
428.6	3.0707e-05
428.8	3.1604e-05
429.0	3.2528e-05
429.2	3.3479e-05
429.4	3.4458e-05
429.6	3.5466e-05
429.8	3.6503e-05
430.0	3.757e-05
430.2	3.8637e-05
430.4	3.943e-05
430.6	4.024e-05
430.8	4.1066e-05
431.0	4.1909e-05
431.2	4.2769e-05
431.4	4.3647e-05
431.6	4.4543e-05
431.8	4.5458e-05
432.0	4.6391e-05
432.2	4.7343e-05
432.4	4.8315e-05
432.6	4.9307e-05
432.8	5.032e-05
433.0	5.1353e-05
433.2	5.2407e-05
433.4	5.3483e-05
433.6	5.4581e-05
433.8	5.5701e-05
434.0	5.6508e-05
434.2	5.7049e-05
434.4	5.7595e-05
434.6	5.8146e-05
434.8	5.8702e-05
435.0	5.9264e-05
435.2	5.9831e-05
435.4	6.0403e-05
435.6	6.0981e-05
435.8	6.1565e-05
436.0	6.2154e-05
436.2	6.2748e-05
436.4	6.3349e-05
436.6	6.3955e-05
436.8	6.4567e-05
437.0	6.5185e-05
437.2	6.5808e-05
437.4	6.6438e-05
437.6	6.7062e-05
437.8	6.7128e-05
438.0	6.7193e-05
438.2	6.7258e-05
438.4	6.7324e-05
438.6	6.7389e-05
438.8	6.7455e-05
439.0	6.752e-05
439.2	6.7586e-05
439.4	6.7652e-05
439.6	6.7718e-05
439.8	6.7783e-05
440.0	6.7849e-05
440.2	6.7915e-05
440.4	6.7981e-05
440.6	6.8048e-05
440.8	6.8114e-05
441.0	6.818e-05
441.2	6.8246e-05
441.4	6.81e-05
441.6	6.7741e-05
441.8	6.7385e-05
442.0	6.703e-05
442.2	6.6677e-05
442.4	6.6326e-05
442.6	6.5977e-05
442.8	6.563e-05
443.0	6.5284e-05
443.2	6.4941e-05
443.4	6.4599e-05
443.6	6.4259e-05
443.8	6.392e-05
444.0	6.3584e-05
444.2	6.3249e-05
444.4	6.2916e-05
444.6	6.2585e-05
444.8	6.2256e-05
445.0	6.1928e-05
445.2	6.1651e-05
445.4	6.1376e-05
445.6	6.1102e-05
445.8	6.0829e-05
446.0	6.0558e-05
446.2	6.0287e-05
446.4	6.0018e-05
446.6	5.975e-05
